,Packets Loss,Throughput ,Delay,output
183,100.0,0.213,155.32,0.5
184,100.0,0.439,155.32,0.6
185,100.0,0.447,155.32,0.6
186,100.0,0.233,155.32,0.5
187,100.0,0.222,155.32,0.5
188,100.0,0.476,155.32,0.6
189,100.0,0.231,155.32,0.5
190,100.0,0.439,155.32,0.6
191,100.0,0.439,155.32,0.6
192,100.0,0.222,155.32,0.5
193,100.0,0.224,155.32,0.5
194,100.0,0.233,155.32,0.5
195,100.0,0.447,155.32,0.6
196,100.0,0.447,155.32,0.6
197,100.0,0.222,155.32,0.5
198,100.0,0.447,155.32,0.6
199,100.0,0.148,155.32,0.4
200,100.0,0.231,155.32,0.5
201,100.0,0.203,155.32,0.5
202,100.0,0.027,155.32,0.4
203,100.0,0.222,155.32,0.5
204,100.0,0.447,155.32,0.6
205,100.0,0.439,155.32,0.6
206,100.0,0.231,155.32,0.5
207,100.0,0.222,155.32,0.5
208,100.0,0.222,155.32,0.5
209,100.0,0.124,155.32,0.4
210,100.0,0.222,155.32,0.5
211,100.0,0.222,155.32,0.5
213,100.0,0.231,155.32,0.5
214,100.0,0.222,155.32,0.5
215,100.0,0.224,155.32,0.5
216,100.0,0.315,155.32,0.5
217,100.0,0.254,155.32,0.5
218,100.0,0.254,155.32,0.5
219,100.0,0.283,155.32,0.5
220,100.0,0.315,155.32,0.5
221,100.0,0.231,155.32,0.5
222,100.0,0.414,155.32,0.6
223,100.0,0.414,155.32,0.6
224,100.0,0.213,155.32,0.5
225,100.0,0.183,155.32,0.4
226,100.0,0.407,155.32,0.6
227,100.0,0.029,155.32,0.4
228,100.0,0.486,155.32,0.6
229,100.0,0.266,155.32,0.5
230,100.0,0.222,155.32,0.5
231,100.0,0.486,155.32,0.6
232,100.0,0.191,155.32,0.5
233,100.0,0.172,155.32,0.4
234,100.0,0.414,155.32,0.6
235,100.0,0.439,155.32,0.6
236,100.0,0.215,155.32,0.5
237,100.0,0.407,155.32,0.6
238,100.0,0.222,155.32,0.5
239,100.0,0.205,155.32,0.5
240,100.0,0.233,155.32,0.5
241,100.0,0.222,155.32,0.5
242,100.0,0.447,155.32,0.6
243,100.0,0.658,155.32,0.7
244,100.0,0.379,155.32,0.5
245,100.0,0.222,155.32,0.5
246,100.0,0.222,155.32,0.5
247,100.0,0.233,155.32,0.5
248,100.0,0.231,155.32,0.5
249,100.0,0.233,155.32,0.5
250,100.0,0.205,155.32,0.5
251,100.0,0.222,155.32,0.5
252,100.0,0.439,155.32,0.6
253,100.0,0.439,155.32,0.6
254,100.0,0.205,155.32,0.5
255,100.0,0.266,155.32,0.5
256,100.0,0.447,155.32,0.6
257,100.0,0.222,155.32,0.5
